RoomSize_m2,Ventilation_ACH,ViralLoad,EstimatedInfections
30,1,1000.0,1
30,1,1000.0,0
30,1,1000.0,0
30,1,1000.0,0
30,1,1000.0,0
30,1,1000.0,0
30,1,1000.0,0
30,1,1000.0,0
30,1,1000.0,0
30,1,1000.0,0
30,1,4641.588833612777,0
30,1,4641.588833612777,1
30,1,4641.588833612777,0
30,1,4641.588833612777,0
30,1,4641.588833612777,0
30,1,4641.588833612777,0
30,1,4641.588833612777,1
30,1,4641.588833612777,0
30,1,4641.588833612777,1
30,1,4641.588833612777,0
30,1,21544.346900318822,3
30,1,21544.346900318822,3
30,1,21544.346900318822,8
30,1,21544.346900318822,6
30,1,21544.346900318822,3
30,1,21544.346900318822,0
30,1,21544.346900318822,3
30,1,21544.346900318822,4
30,1,21544.346900318822,5
30,1,21544.346900318822,7
30,1,100000.0,19
30,1,100000.0,22
30,1,100000.0,21
30,1,100000.0,24
30,1,100000.0,23
30,1,100000.0,14
30,1,100000.0,27
30,1,100000.0,17
30,1,100000.0,15
30,1,100000.0,21
30,1,464158.8833612772,103
30,1,464158.8833612772,95
30,1,464158.8833612772,97
30,1,464158.8833612772,86
30,1,464158.8833612772,78
30,1,464158.8833612772,126
30,1,464158.8833612772,82
30,1,464158.8833612772,101
30,1,464158.8833612772,106
30,1,464158.8833612772,96
30,1,2154434.6900318824,435
30,1,2154434.6900318824,428
30,1,2154434.6900318824,429
30,1,2154434.6900318824,443
30,1,2154434.6900318824,457
30,1,2154434.6900318824,448
30,1,2154434.6900318824,400
30,1,2154434.6900318824,436
30,1,2154434.6900318824,432
30,1,2154434.6900318824,405
30,1,10000000.0,2088
30,1,10000000.0,2010
30,1,10000000.0,2059
30,1,10000000.0,1923
30,1,10000000.0,1938
30,1,10000000.0,1947
30,1,10000000.0,2010
30,1,10000000.0,2087
30,1,10000000.0,2067
30,1,10000000.0,1934
30,1,46415888.33612773,9262
30,1,46415888.33612773,9301
30,1,46415888.33612773,9349
30,1,46415888.33612773,9272
30,1,46415888.33612773,9356
30,1,46415888.33612773,9129
30,1,46415888.33612773,9464
30,1,46415888.33612773,9215
30,1,46415888.33612773,9247
30,1,46415888.33612773,9284
30,1,215443469.00318778,43313
30,1,215443469.00318778,43203
30,1,215443469.00318778,43088
30,1,215443469.00318778,42933
30,1,215443469.00318778,43061
30,1,215443469.00318778,43183
30,1,215443469.00318778,42958
30,1,215443469.00318778,43162
30,1,215443469.00318778,42879
30,1,215443469.00318778,43166
30,1,1000000000.0,199708
30,1,1000000000.0,200647
30,1,1000000000.0,199637
30,1,1000000000.0,200674
30,1,1000000000.0,199794
30,1,1000000000.0,200155
30,1,1000000000.0,200248
30,1,1000000000.0,199373
30,1,1000000000.0,199236
30,1,1000000000.0,199949
30,3,1000.0,0
30,3,1000.0,0
30,3,1000.0,0
30,3,1000.0,0
30,3,1000.0,0
30,3,1000.0,0
30,3,1000.0,0
30,3,1000.0,1
30,3,1000.0,0
30,3,1000.0,0
30,3,4641.588833612777,1
30,3,4641.588833612777,0
30,3,4641.588833612777,0
30,3,4641.588833612777,0
30,3,4641.588833612777,0
30,3,4641.588833612777,1
30,3,4641.588833612777,0
30,3,4641.588833612777,0
30,3,4641.588833612777,0
30,3,4641.588833612777,2
30,3,21544.346900318822,3
30,3,21544.346900318822,1
30,3,21544.346900318822,1
30,3,21544.346900318822,1
30,3,21544.346900318822,0
30,3,21544.346900318822,1
30,3,21544.346900318822,2
30,3,21544.346900318822,2
30,3,21544.346900318822,2
30,3,21544.346900318822,1
30,3,100000.0,4
30,3,100000.0,3
30,3,100000.0,4
30,3,100000.0,8
30,3,100000.0,8
30,3,100000.0,9
30,3,100000.0,3
30,3,100000.0,10
30,3,100000.0,7
30,3,100000.0,9
30,3,464158.8833612772,26
30,3,464158.8833612772,22
30,3,464158.8833612772,31
30,3,464158.8833612772,33
30,3,464158.8833612772,16
30,3,464158.8833612772,25
30,3,464158.8833612772,30
30,3,464158.8833612772,35
30,3,464158.8833612772,37
30,3,464158.8833612772,35
30,3,2154434.6900318824,141
30,3,2154434.6900318824,157
30,3,2154434.6900318824,145
30,3,2154434.6900318824,124
30,3,2154434.6900318824,140
30,3,2154434.6900318824,130
30,3,2154434.6900318824,164
30,3,2154434.6900318824,167
30,3,2154434.6900318824,168
30,3,2154434.6900318824,140
30,3,10000000.0,695
30,3,10000000.0,703
30,3,10000000.0,679
30,3,10000000.0,637
30,3,10000000.0,634
30,3,10000000.0,662
30,3,10000000.0,707
30,3,10000000.0,654
30,3,10000000.0,674
30,3,10000000.0,635
30,3,46415888.33612773,3122
30,3,46415888.33612773,3062
30,3,46415888.33612773,3065
30,3,46415888.33612773,3184
30,3,46415888.33612773,3125
30,3,46415888.33612773,3105
30,3,46415888.33612773,3073
30,3,46415888.33612773,3140
30,3,46415888.33612773,3093
30,3,46415888.33612773,3183
30,3,215443469.00318778,14355
30,3,215443469.00318778,14450
30,3,215443469.00318778,14216
30,3,215443469.00318778,14442
30,3,215443469.00318778,14279
30,3,215443469.00318778,14344
30,3,215443469.00318778,14501
30,3,215443469.00318778,14259
30,3,215443469.00318778,14142
30,3,215443469.00318778,14256
30,3,1000000000.0,66872
30,3,1000000000.0,66608
30,3,1000000000.0,66804
30,3,1000000000.0,66353
30,3,1000000000.0,66895
30,3,1000000000.0,66753
30,3,1000000000.0,66783
30,3,1000000000.0,66762
30,3,1000000000.0,66151
30,3,1000000000.0,67027
30,6,1000.0,0
30,6,1000.0,0
30,6,1000.0,0
30,6,1000.0,0
30,6,1000.0,1
30,6,1000.0,0
30,6,1000.0,0
30,6,1000.0,0
30,6,1000.0,0
30,6,1000.0,0
30,6,4641.588833612777,0
30,6,4641.588833612777,0
30,6,4641.588833612777,0
30,6,4641.588833612777,0
30,6,4641.588833612777,0
30,6,4641.588833612777,0
30,6,4641.588833612777,0
30,6,4641.588833612777,0
30,6,4641.588833612777,0
30,6,4641.588833612777,0
30,6,21544.346900318822,3
30,6,21544.346900318822,0
30,6,21544.346900318822,2
30,6,21544.346900318822,0
30,6,21544.346900318822,2
30,6,21544.346900318822,1
30,6,21544.346900318822,1
30,6,21544.346900318822,0
30,6,21544.346900318822,2
30,6,21544.346900318822,0
30,6,100000.0,6
30,6,100000.0,2
30,6,100000.0,6
30,6,100000.0,5
30,6,100000.0,5
30,6,100000.0,2
30,6,100000.0,6
30,6,100000.0,5
30,6,100000.0,6
30,6,100000.0,1
30,6,464158.8833612772,16
30,6,464158.8833612772,16
30,6,464158.8833612772,14
30,6,464158.8833612772,21
30,6,464158.8833612772,10
30,6,464158.8833612772,15
30,6,464158.8833612772,13
30,6,464158.8833612772,14
30,6,464158.8833612772,20
30,6,464158.8833612772,14
30,6,2154434.6900318824,67
30,6,2154434.6900318824,67
30,6,2154434.6900318824,70
30,6,2154434.6900318824,64
30,6,2154434.6900318824,66
30,6,2154434.6900318824,64
30,6,2154434.6900318824,65
30,6,2154434.6900318824,65
30,6,2154434.6900318824,73
30,6,2154434.6900318824,82
30,6,10000000.0,363
30,6,10000000.0,350
30,6,10000000.0,330
30,6,10000000.0,295
30,6,10000000.0,332
